player,aces,bk_pts,bp_saved,crosscourt,deep,dfs,down_middle,down_the_line,err_deep,err_net,err_wide,err_wide_deep,first_aces,first_forced,first_in,first_pts,first_pts_won,first_unret,first_won,first_won_lte_3_shots,forced_err,in_play,in_play_won,induced_forced,inside_in,inside_out,net_pts,net_unforced,net_winner,passed_at_net,passing_shot_induced_forced,pt_ending,pts,pts_won,pts_won_lte_3_shots,return_forced,return_pts,return_pts_won,returnable,returnable_won,second_aces,second_forced,second_in,second_pts,second_pts_won,second_unret,second_won,second_won_lte_3_shots,serve_pts,serve_return,shallow,shots,shots_in_pts_lost,shots_in_pts_won,snv_pts,total_shots,unforced,unforced_bh,unforced_fh,unret,very_deep,winners,winners_bh,winners_fh
Kei_Nishikori,1890.0,1068.0,632.0,12454.0,17500.0,987.0,6327.0,3646.0,658.0,502.0,322.0,98.0,903.0,2088.0,15938.0,9562.0,6670.0,118.0,4448.0,3973.0,2469.0,29494.0,14899.0,6968.0,499.0,3534.0,3076.0,434.0,1606.0,434.0,212.0,25301.0,54593.0,30107.0,5221.0,858.0,10476.0,4052.0,58081.0,14899.0,39.0,381.0,4100.0,6140.0,2964.0,9.0,1976.0,1248.0,10476.0,22981.0,5030.0,115612.0,57490.0,58122.0,5108.0,206210.0,17010.0,1770.0,1672.0,153.0,6659.0,11674.0,892.0,1498.0
Carlos_Berlocq,82.0,150.0,90.0,2295.0,2694.0,120.0,1619.0,654.0,77.0,77.0,35.0,7.0,36.0,147.0,2003.0,1201.0,789.0,12.0,526.0,291.0,147.0,4314.0,2004.0,1055.0,251.0,856.0,736.0,106.0,332.0,114.0,82.0,3605.0,6895.0,4144.0,390.0,56.0,1288.0,534.0,8359.0,2004.0,0.0,0.0,486.0,729.0,342.0,3.0,228.0,99.0,1288.0,3217.0,906.0,21482.0,10714.0,10768.0,788.0,40057.0,2345.0,226.0,258.0,23.0,1099.0,1543.0,104.0,256.0
Julien_Benneteau,133.0,32.0,16.0,304.0,560.0,45.0,156.0,48.0,21.0,7.0,14.0,0.0,57.0,69.0,600.0,360.0,258.0,0.0,172.0,174.0,96.0,1039.0,531.0,256.0,12.0,126.0,150.0,14.0,74.0,40.0,8.0,872.0,1988.0,1231.0,231.0,64.0,386.0,148.0,2010.0,531.0,0.0,27.0,146.0,219.0,99.0,0.0,66.0,57.0,386.0,784.0,327.0,3205.0,1555.0,1650.0,368.0,6910.0,495.0,42.0,58.0,0.0,175.0,521.0,28.0,78.0
Jo_Wilfried_Tsonga,1772.0,492.0,298.0,6503.0,11397.0,440.0,3148.0,1997.0,427.0,364.0,264.0,28.0,786.0,1470.0,10174.0,6102.0,4480.0,72.0,2988.0,2796.0,1647.0,18105.0,8519.0,4911.0,569.0,2708.0,3226.0,460.0,1616.0,578.0,252.0,15326.0,34562.0,20510.0,3579.0,846.0,6600.0,2246.0,35760.0,8519.0,30.0,177.0,2528.0,3792.0,2049.0,3.0,1366.0,783.0,6600.0,14093.0,3869.0,68630.0,34226.0,34404.0,4760.0,139447.0,10046.0,964.0,1060.0,103.0,3888.0,7135.0,464.0,1044.0
Vladimir_Ivanov,75.0,66.0,36.0,880.0,983.0,55.0,358.0,156.0,0.0,21.0,7.0,0.0,42.0,87.0,713.0,427.0,294.0,18.0,196.0,183.0,123.0,1684.0,922.0,315.0,26.0,166.0,132.0,8.0,78.0,8.0,0.0,1364.0,2961.0,1561.0,243.0,8.0,562.0,242.0,3151.0,922.0,3.0,36.0,276.0,414.0,186.0,3.0,124.0,60.0,562.0,1226.0,413.0,7016.0,3507.0,3509.0,74.0,11232.0,999.0,132.0,84.0,21.0,507.0,554.0,40.0,74.0
Alexandre_Penaud,0.0,28.0,8.0,336.0,525.0,15.0,326.0,100.0,0.0,28.0,21.0,0.0,0.0,30.0,425.0,255.0,150.0,0.0,100.0,54.0,30.0,793.0,431.0,148.0,10.0,174.0,50.0,4.0,14.0,4.0,0.0,698.0,1263.0,659.0,63.0,0.0,232.0,110.0,1563.0,431.0,0.0,0.0,62.0,93.0,33.0,0.0,22.0,9.0,232.0,613.0,147.0,4006.0,2003.0,2003.0,0.0,5862.0,553.0,46.0,68.0,0.0,175.0,261.0,12.0,42.0
Alexander_Vasilenko,40.0,10.0,4.0,214.0,322.0,0.0,174.0,42.0,14.0,14.0,7.0,0.0,24.0,33.0,305.0,183.0,123.0,0.0,82.0,84.0,39.0,562.0,264.0,110.0,10.0,78.0,44.0,4.0,14.0,4.0,4.0,485.0,1010.0,478.0,108.0,0.0,188.0,64.0,1108.0,264.0,0.0,6.0,66.0,99.0,63.0,0.0,42.0,24.0,188.0,427.0,147.0,2329.0,1163.0,1166.0,0.0,3632.0,306.0,32.0,30.0,0.0,133.0,250.0,10.0,44.0
Grigor_Dimitrov,1106.0,328.0,200.0,5761.0,6709.0,320.0,3605.0,1596.0,133.0,154.0,70.0,28.0,552.0,933.0,7013.0,4207.0,3078.0,69.0,2052.0,1833.0,1113.0,11678.0,5473.0,3309.0,359.0,1984.0,1254.0,152.0,476.0,160.0,110.0,9926.0,22200.0,11687.0,2250.0,298.0,4284.0,1472.0,22516.0,5473.0,12.0,180.0,1478.0,2215.0,1140.0,0.0,760.0,417.0,4284.0,8807.0,1764.0,51348.0,25622.0,25726.0,1532.0,87619.0,6361.0,614.0,722.0,87.0,2793.0,3871.0,232.0,556.0
Jerzy_Janowicz,572.0,142.0,98.0,1140.0,2264.0,175.0,488.0,288.0,63.0,105.0,42.0,7.0,279.0,321.0,2645.0,1587.0,1170.0,39.0,780.0,792.0,402.0,3910.0,1839.0,968.0,52.0,330.0,642.0,106.0,268.0,158.0,60.0,3269.0,8005.0,4376.0,1008.0,134.0,1576.0,520.0,7692.0,1839.0,3.0,81.0,518.0,777.0,414.0,3.0,276.0,216.0,1576.0,3026.0,872.0,12327.0,6101.0,6226.0,756.0,25452.0,2078.0,204.0,218.0,48.0,815.0,1758.0,120.0,230.0
Alexandr_Dolgopolov,1204.0,358.0,202.0,4611.0,7369.0,430.0,2033.0,1315.0,273.0,245.0,77.0,14.0,568.0,777.0,5984.0,3588.0,2601.0,147.0,1738.0,1826.0,970.0,10966.0,5749.0,2737.0,185.0,1321.0,1388.0,226.0,614.0,234.0,74.0,9275.0,21371.0,11899.0,2364.0,286.0,4132.0,1552.0,21460.0,5749.0,12.0,193.0,1736.0,2602.0,1261.0,3.0,842.0,538.0,4132.0,8287.0,1952.0,40121.0,19730.0,20391.0,1966.0,75910.0,5950.0,558.0,632.0,200.0,2842.0,4711.0,300.0,608.0
